player,season,school,conference,draft_pick,class_year,age,height_in,weight_lb,ts_pct,ast_tov,pts_per40,ast_per40,reb_per40,stl_per40,blk_per40,three_rate,ft_rate,nba_value,predicted_nba_value,model_grade
Demo Prospect 033,2025,Demo University 13,Conference C,33.0,FR,18.1,73.2,173.0,0.590646094503375,3.238095238095238,6.312399355877616,4.3800322061191626,3.156199677938808,1.2238325281803544,1.0950080515297906,0.3088235294117647,0.5,5.39177351289586,6.1880279976066,92.6
Demo Prospect 133,2025,Demo University 13,Conference C,,SO,19.9,71.6,181.0,0.6228273464658168,2.363636363636364,4.246913580246914,5.135802469135802,6.864197530864198,0.5432098765432098,2.271604938271605,0.6451612903225806,0.2580645161290322,6.044299572201731,6.183837491896716,92.0
Demo Prospect 118,2025,Demo University 18,Conference C,,FR,18.8,80.7,184.0,0.6253813300793166,1.5454545454545454,5.996343692870201,2.486288848263254,4.387568555758683,1.3893967093235833,1.828153564899452,0.6545454545454545,0.4363636363636363,7.440471701091268,6.132810818678082,91.3
Demo Prospect 025,2025,Demo University 5,Conference E,25.0,FR,18.2,80.2,241.0,0.5957538994800694,1.5454545454545454,6.832298136645963,2.111801242236025,4.037267080745342,0.9937888198757764,3.1677018633540373,0.425,0.35,6.703466105322833,6.092021002423913,90.7
Demo Prospect 147,2025,Demo University 7,Conference B,,FR,18.4,75.8,214.0,0.5858949204272945,2.7346938775510203,8.11320754716981,5.056603773584905,10.452830188679243,1.3584905660377358,1.169811320754717,0.435064935064935,0.435064935064935,5.512463686212316,6.037163678737805,90.1
Demo Prospect 143,2025,Demo University 3,Conference C,,SO,20.3,83.3,225.0,0.6492537313432836,0.9726027397260274,5.5150554675118855,4.500792393026941,7.480190174326466,1.2044374009508716,2.662440570522979,0.2857142857142857,0.4464285714285714,5.750267172923111,5.99538144422128,89.5
Demo Prospect 049,2025,Demo University 9,Conference D,49.0,JR,20.8,74.0,165.0,0.6611969111969113,1.431818181818182,5.3515625,2.4609375,8.6328125,0.9375,2.03125,0.6162790697674418,0.4651162790697674,5.156436863627115,5.9452869507848405,88.9
Demo Prospect 097,2025,Demo University 17,Conference B,,FR,18.1,73.9,184.0,0.578556263269639,2.9,6.328011611030479,1.683599419448476,8.18577648766328,0.8127721335268505,1.9738751814223512,0.3086419753086419,0.3703703703703703,4.757210953763076,5.9343362409019935,88.2
Demo Prospect 127,2025,Demo University 7,Conference B,,FR,19.1,82.2,237.0,0.5791839557399723,2.411764705882353,4.481605351170568,2.74247491638796,9.76588628762542,1.137123745819398,2.274247491638796,0.0943396226415094,0.2075471698113207,5.846353845855431,5.909331112738105,87.6
Demo Prospect 134,2025,Demo University 14,Conference D,,SO,19.5,83.5,225.0,0.5623471882640587,3.0,5.714285714285714,3.7267080745341614,9.006211180124224,1.4285714285714286,2.981366459627329,0.684931506849315,0.273972602739726,5.278016237818791,5.869591222608436,87.0
Demo Prospect 028,2025,Demo University 8,Conference C,28.0,SR,23.0,78.1,176.0,0.6598457888493476,2.4565217391304346,5.337331334332833,6.776611694152924,8.335832083958021,0.7796101949025487,0.5997001499250375,0.3214285714285714,0.4642857142857143,7.015210666753511,5.827155337090029,86.4
Demo Prospect 062,2025,Demo University 2,Conference B,,SR,21.5,72.7,186.0,0.616284860557769,2.9047619047619047,4.691943127962086,2.890995260663507,7.393364928909953,1.1374407582938388,1.0900473933649288,0.3382352941176471,0.4117647058823529,6.27464335340335,5.7527862219474075,85.8
Demo Prospect 067,2025,Demo University 7,Conference B,,SO,20.2,77.8,220.0,0.5807757885763001,3.0,6.770186335403727,2.2360248447204967,6.149068322981367,1.0559006211180124,1.8633540372670807,0.2948717948717949,0.4615384615384615,6.65958377997714,5.702451208171042,85.1
Demo Prospect 151,2025,Demo University 11,Conference A,,FR,19.4,76.8,177.0,0.6281864530225783,1.4857142857142858,4.353312302839116,3.280757097791798,8.64353312302839,1.7034700315457414,1.3249211356466877,0.0638297872340425,0.3829787234042553,6.033225892953406,5.673338572628537,84.5
Demo Prospect 026,2025,Demo University 6,Conference A,26.0,JR,20.8,76.9,194.0,0.5974783590515619,2.862068965517241,6.35,4.15,8.1,0.55,1.85,0.5,0.4111111111111111,5.653984251349634,5.668747227242211,83.9
Demo Prospect 142,2025,Demo University 2,Conference B,,JR,21.2,78.2,170.0,0.6287297527706734,2.0789473684210527,4.806517311608961,6.435845213849287,4.154786150712831,0.6517311608961304,1.7922606924643585,0.5641025641025641,0.4615384615384615,5.322718459400725,5.617648559481937,83.3
Demo Prospect 094,2025,Demo University 14,Conference D,,JR,21.0,76.1,206.0,0.6219903691813804,1.9830508474576272,5.040650406504065,6.341463414634147,7.154471544715447,1.3008130081300813,1.029810298102981,0.4032258064516129,0.4677419354838709,6.957330341231842,5.611361661260315,82.7
Demo Prospect 103,2025,Demo University 3,Conference C,,SO,20.4,78.1,203.0,0.6096332124143491,1.804878048780488,5.238095238095238,3.203463203463204,9.090909090909092,1.5584415584415583,2.7705627705627704,0.2777777777777778,0.2333333333333333,5.269609735723147,5.595109804695059,82.1
Demo Prospect 101,2025,Demo University 1,Conference A,,SR,23.3,78.2,229.0,0.6192161132280892,2.418181818181818,5.027624309392265,7.348066298342541,6.629834254143646,1.2154696132596683,0.7182320441988951,0.5,0.2575757575757575,5.995826754018913,5.552021798353252,81.4
Demo Prospect 160,2025,Demo University 20,Conference E,,FR,18.3,77.2,165.0,0.5616359447004609,2.7777777777777777,4.078431372549019,1.30718954248366,5.803921568627451,1.411764705882353,0.7843137254901961,0.7241379310344828,0.4482758620689655,6.68919800033103,5.542974790122949,80.8
Demo Prospect 040,2025,Demo University 20,Conference E,40.0,FR,18.8,81.2,207.0,0.5839100346020761,1.7777777777777777,4.946564885496184,2.931297709923664,9.64885496183206,1.1603053435114503,0.9770992366412212,0.360655737704918,0.3114754098360656,4.254274712117691,5.536893678306621,80.2
Demo Prospect 065,2025,Demo University 5,Conference E,,SO,20.4,72.2,188.0,0.6301440329218106,1.4477611940298507,4.558139534883721,4.511627906976744,6.372093023255814,1.2093023255813953,1.441860465116279,0.3846153846153846,0.4461538461538462,4.4843308230733,5.530590019858115,79.6
Demo Prospect 128,2025,Demo University 8,Conference C,,SO,20.0,79.2,189.0,0.5945361635220126,2.4444444444444446,8.175675675675675,1.4864864864864864,8.986486486486486,0.7432432432432432,1.7567567567567568,0.0561797752808988,0.3258426966292135,6.129962136401165,5.506504909297198,79.0
Demo Prospect 068,2025,Demo University 8,Conference C,,FR,18.5,79.4,223.0,0.5753667172483561,1.7361111111111112,4.390832328106152,6.031363088057901,5.500603136308806,0.9650180940892642,0.9650180940892642,0.6461538461538462,0.4923076923076923,5.962020810167657,5.496872923613114,78.3
Demo Prospect 090,2025,Demo University 10,Conference E,,FR,19.3,70.3,195.0,0.5700778642936596,2.8260869565217392,5.674740484429066,4.498269896193771,7.335640138408304,1.6608996539792389,2.0069204152249136,0.078125,0.28125,4.664905379250743,5.406073587583796,77.7
Demo Prospect 095,2025,Demo University 15,Conference E,,SO,19.8,82.7,236.0,0.5470459518599562,2.6,3.7383177570093458,1.6199376947040498,10.342679127725855,1.1214953271028036,2.616822429906542,0.6,0.22,5.569548469570762,5.391589738422484,77.1
Demo Prospect 072,2025,Demo University 12,Conference B,,SO,19.7,74.9,190.0,0.5956919557758292,2.224489795918368,7.587253414264036,6.61608497723824,4.309559939301972,0.9711684370257968,1.5174506828528074,0.2441860465116279,0.5,4.791363287954376,5.373798948228137,76.5
Demo Prospect 148,2025,Demo University 8,Conference C,,SO,20.4,83.6,187.0,0.5847308031774051,2.363636363636364,5.905292479108635,1.448467966573816,5.125348189415042,1.3370473537604457,0.1671309192200557,0.4285714285714285,0.4025974025974026,4.044043157122643,5.352040457993667,75.9
Demo Prospect 012,2025,Demo University 12,Conference B,12.0,SO,19.5,78.3,237.0,0.5515848353014294,2.6451612903225805,5.419847328244275,3.1297709923664123,10.763358778625957,1.2595419847328244,2.8244274809160306,0.4553571428571428,0.3392857142857143,5.193304784705203,5.350358261091727,75.2
Demo Prospect 089,2025,Demo University 9,Conference D,,SO,20.3,77.9,183.0,0.6166828951639078,1.2105263157894737,7.028901734104046,1.0635838150289016,4.3468208092485545,1.5722543352601157,1.3410404624277457,0.087719298245614,0.1842105263157894,4.436481582479866,5.3481664701662845,74.6
Demo Prospect 154,2025,Demo University 14,Conference D,,SR,21.9,81.1,195.0,0.5952380952380952,3.111111111111111,8.372093023255815,6.511627906976744,6.589147286821706,0.9302325581395348,1.317829457364341,0.2837837837837837,0.5135135135135135,5.817329222075172,5.32097871898044,74.0
Demo Prospect 158,2025,Demo University 18,Conference C,,SO,20.2,78.4,184.0,0.5725758477096966,2.875,3.9741935483870967,7.122580645161291,3.92258064516129,1.238709677419355,1.3419354838709678,0.2068965517241379,0.3620689655172414,5.063476970958354,5.2583779260932655,73.4
Demo Prospect 064,2025,Demo University 4,Conference D,,FR,18.8,74.6,171.0,0.5958251150558842,1.5263157894736843,8.369408369408369,1.673881673881674,7.965367965367966,1.5584415584415583,0.7503607503607503,0.3663366336633663,0.4653465346534653,4.745021253324998,5.202987276241577,72.8
Demo Prospect 029,2025,Demo University 9,Conference D,29.0,SR,21.5,82.1,211.0,0.5792025862068966,2.652173913043478,5.0588235294117645,3.588235294117647,8.470588235294118,1.588235294117647,1.1176470588235294,0.2615384615384615,0.3230769230769231,4.936303063975119,5.186720327174024,72.2
Demo Prospect 124,2025,Demo University 4,Conference D,,JR,20.8,74.2,173.0,0.5904478656403079,2.275,7.883211678832117,5.313868613138686,6.481751824817518,1.8102189781021896,2.2773722627737225,0.5784313725490197,0.2745098039215686,5.917067845570855,5.170189616551632,71.5
Demo Prospect 098,2025,Demo University 18,Conference C,,SO,20.0,74.7,171.0,0.6189166314007618,1.4,7.346938775510204,6.153846153846154,8.791208791208792,0.565149136577708,2.009419152276295,0.15,0.4125,5.201797863627787,5.157777647627104,70.9
Demo Prospect 058,2025,Demo University 18,Conference C,58.0,SO,20.1,78.2,241.0,0.5662020905923345,1.84375,6.227544910179641,2.8263473053892216,3.0179640718562872,0.8622754491017964,3.0179640718562872,0.0566037735849056,0.1886792452830188,6.283552897885117,5.145091483754653,70.3
Demo Prospect 091,2025,Demo University 11,Conference A,,FR,18.2,75.6,202.0,0.5541346973572038,2.230769230769231,5.769764216366158,1.608876560332871,8.654646324549237,1.3869625520110958,1.5533980582524272,0.2564102564102564,0.4615384615384615,5.277220966746911,5.130397604276636,69.7
Demo Prospect 115,2025,Demo University 15,Conference E,,FR,18.0,84.0,200.0,0.5768343331795108,1.0,5.42740841248304,2.4966078697421983,7.272727272727272,1.1940298507462686,1.682496607869742,0.0779220779220779,0.2857142857142857,6.164496799491884,5.129411106544154,69.1
Demo Prospect 108,2025,Demo University 8,Conference C,,SR,21.8,79.8,224.0,0.5913272010512484,2.125,4.768211920529802,7.50551876379691,9.97792494481236,1.0154525386313469,0.0883002207505518,0.379746835443038,0.3544303797468354,4.234400650772557,5.070637877031474,68.4
Demo Prospect 129,2025,Demo University 9,Conference D,,FR,19.0,78.0,207.0,0.5799293998991427,1.4791666666666667,5.264663805436338,4.0629470672389125,8.412017167381974,0.9728183118741058,0.228898426323319,0.1492537313432835,0.417910447761194,5.181142083167344,5.04617871895117,67.8
Demo Prospect 084,2025,Demo University 4,Conference D,,FR,19.0,80.6,214.0,0.5501692828562634,1.8125,7.333333333333333,1.4871794871794872,7.333333333333333,1.0769230769230769,1.1282051282051282,0.5043478260869565,0.2956521739130435,4.593108022329801,4.983931097076566,67.2
Demo Prospect 157,2025,Demo University 17,Conference B,,SO,19.8,77.2,206.0,0.5429477794045876,3.1724137931034484,5.197080291970803,5.372262773722627,5.664233576642336,0.6423357664233577,1.8102189781021896,0.2537313432835821,0.5074626865671642,5.85304736987095,4.981895218926826,66.6
Demo Prospect 113,2025,Demo University 13,Conference C,,FR,18.8,78.0,199.0,0.531142781736606,2.60377358490566,6.069745523091423,5.202639019792649,7.426955702167766,0.8671065032987747,2.111215834118756,0.8,0.3769230769230769,5.216100508472706,4.954089995156189,66.0
Demo Prospect 088,2025,Demo University 8,Conference C,,SO,20.1,82.0,188.0,0.5515587529976019,2.647058823529412,5.542168674698795,2.710843373493976,5.602409638554217,1.7469879518072289,1.7469879518072289,0.7941176470588235,0.5147058823529411,5.954886988017593,4.952367810191136,65.4
Demo Prospect 093,2025,Demo University 13,Conference C,,JR,20.6,69.0,202.0,0.6031613976705491,1.2765957446808511,6.287262872628726,3.252032520325203,6.558265582655826,1.2466124661246611,2.005420054200542,0.5443037974683544,0.4936708860759494,5.390856762050379,4.946809322117083,64.7
Demo Prospect 159,2025,Demo University 19,Conference D,,FR,19.1,72.4,165.0,0.5562422744128553,2.306122448979592,4.423963133640553,6.943164362519202,4.23963133640553,1.41321044546851,1.6589861751152073,0.4745762711864407,0.2203389830508474,5.251671841410954,4.939004841627714,64.1
Demo Prospect 043,2025,Demo University 3,Conference C,43.0,JR,20.8,73.6,198.0,0.5976602238046795,1.527027027027027,6.05475040257649,7.278582930756844,6.4412238325281805,1.288244766505636,0.2576489533011272,0.6153846153846154,0.4769230769230769,5.5787218246567125,4.923501228878261,63.5
Demo Prospect 104,2025,Demo University 4,Conference D,,JR,20.9,80.8,177.0,0.5621598395875108,3.0,7.243367935409458,6.643598615916955,4.429065743944637,0.5536332179930796,1.1072664359861593,0.5565217391304348,0.4869565217391304,6.317857245611791,4.915537558072233,62.9
Demo Prospect 138,2025,Demo University 18,Conference C,,JR,20.8,78.4,202.0,0.5859375,1.681818181818182,5.194805194805195,2.135642135642136,5.31024531024531,1.616161616161616,0.7503607503607503,0.088235294117647,0.2941176470588235,4.661356762050378,4.906682418683154,62.3
Demo Prospect 140,2025,Demo University 20,Conference E,,SR,22.9,77.1,181.0,0.6305309734513274,1.4094488188976375,4.62474645030426,7.261663286004056,3.7728194726166326,0.486815415821501,1.5010141987829615,0.56,0.4666666666666667,4.930935958050761,4.898016548873869,61.6
Demo Prospect 001,2025,Demo University 1,Conference A,1.0,JR,21.4,83.8,199.0,0.6047728015691403,1.518987341772152,8.268156424581006,6.70391061452514,9.497206703910615,1.7877094972067038,1.899441340782123,0.2621359223300971,0.4271844660194174,5.336177673981954,4.871489419107445,61.0
Demo Prospect 051,2025,Demo University 11,Conference A,51.0,SO,20.0,80.9,223.0,0.5263157894736843,3.0,5.517241379310345,5.6426332288401255,7.962382445141066,1.3793103448275863,2.8213166144200628,0.1428571428571428,0.1948051948051948,6.238775228918866,4.839097876236606,60.4
Demo Prospect 021,2025,Demo University 1,Conference A,21.0,FR,19.2,79.0,222.0,0.5265317286652078,2.5454545454545454,3.640661938534279,6.619385342789598,4.066193853427896,0.851063829787234,1.8912529550827424,0.492063492063492,0.365079365079365,5.519409683928323,4.837798904415493,59.8
Demo Prospect 038,2025,Demo University 18,Conference C,38.0,FR,18.0,80.7,212.0,0.540303738317757,1.59375,4.836601307189542,3.333333333333333,5.228758169934641,0.7843137254901961,1.437908496732026,0.1147540983606557,0.2786885245901639,6.437534478475481,4.81999736456174,59.2
Demo Prospect 004,2025,Demo University 4,Conference D,4.0,FR,19.2,79.2,213.0,0.5647590361445783,1.3125,4.363636363636363,6.109090909090909,8.618181818181819,0.6909090909090909,1.709090909090909,0.2061855670103092,0.2164948453608247,5.552381339519892,4.817976478226974,58.5
Demo Prospect 155,2025,Demo University 15,Conference E,,SR,21.5,76.6,207.0,0.6062355658198614,1.3134328358208955,7.283236994219653,5.086705202312139,8.38150289017341,1.2716763005780347,2.543352601156069,0.4588235294117647,0.5058823529411764,3.390334454528336,4.801567911379252,57.9
Demo Prospect 120,2025,Demo University 20,Conference E,,SR,22.5,69.0,193.0,0.5889125044279135,2.6956521739130435,6.785714285714286,3.163265306122449,7.142857142857143,1.479591836734694,0.0510204081632653,0.2765957446808511,0.4574468085106383,4.234685524850008,4.771821135728106,57.3
Demo Prospect 030,2025,Demo University 10,Conference E,30.0,JR,20.8,80.4,233.0,0.5716207128446537,1.3333333333333333,4.06576980568012,1.4349775784753362,7.593423019431988,0.8968609865470852,2.8699551569506725,0.4038461538461538,0.3269230769230769,6.452918306983445,4.76418617309493,56.7
Demo Prospect 014,2025,Demo University 14,Conference D,14.0,SO,20.4,79.6,200.0,0.5787037037037037,1.2272727272727273,5.139186295503212,1.1563169164882228,6.423982869379015,1.7130620985010707,2.955032119914347,0.3085106382978723,0.2340425531914893,6.489418515473804,4.760614487919397,56.1
Demo Prospect 111,2025,Demo University 11,Conference A,,SR,22.2,73.6,180.0,0.5799533119346366,2.952380952380953,7.482352941176471,2.9176470588235293,3.4352941176470586,0.5176470588235295,2.2588235294117647,0.1785714285714285,0.5089285714285714,5.438474966344492,4.742402827416282,55.4
Demo Prospect 019,2025,Demo University 19,Conference D,19.0,JR,21.4,82.7,235.0,0.5385890151515151,2.5090909090909093,4.601769911504425,6.978508217446271,4.702907711757269,1.0619469026548674,2.1238938053097347,0.5844155844155844,0.2207792207792207,4.278757325647478,4.723441546447077,54.8
Demo Prospect 112,2025,Demo University 12,Conference B,,SR,23.0,77.5,190.0,0.6197559115179253,1.2638888888888888,5.399792315680166,3.779854620976116,8.09968847352025,1.1630321910695742,1.1630321910695742,0.3870967741935484,0.2903225806451613,5.348120155326631,4.714663078166925,54.2
Demo Prospect 123,2025,Demo University 3,Conference C,,SR,22.4,78.3,189.0,0.6095927116827439,1.3548387096774193,4.715025906735751,4.352331606217617,2.2797927461139897,1.450777202072539,0.8808290155440415,0.6065573770491803,0.5081967213114754,5.953918890208984,4.7117161948992345,53.6
Demo Prospect 074,2025,Demo University 14,Conference D,,SR,21.6,75.3,187.0,0.5888169723121179,1.5,7.762962962962963,3.2,10.42962962962963,0.5925925925925926,0.3555555555555555,0.7058823529411765,0.2058823529411764,4.759503330509679,4.706805067098211,53.0
Demo Prospect 056,2025,Demo University 16,Conference A,56.0,FR,18.8,70.6,169.0,0.5297433903576984,2.911111111111111,3.985374771480804,4.789762340036563,6.80073126142596,0.7678244972577697,1.206581352833638,0.2637362637362637,0.2967032967032967,5.2989110126893575,4.697238411368352,52.4
Demo Prospect 135,2025,Demo University 15,Conference E,,SR,23.2,81.4,208.0,0.5870513250587052,2.4375,6.796116504854369,1.8932038834951457,4.271844660194175,1.116504854368932,1.7475728155339805,0.2525252525252525,0.4646464646464646,2.732025401488454,4.694951360313937,51.7
Demo Prospect 132,2025,Demo University 12,Conference B,,JR,21.2,76.6,207.0,0.5436600869856139,3.025641025641025,7.7844311377245505,7.065868263473054,4.011976047904192,1.1976047904191616,0.8383233532934131,0.673469387755102,0.5,4.586790905103049,4.679553088859224,51.1
Demo Prospect 080,2025,Demo University 20,Conference E,,FR,18.8,77.7,217.0,0.5635089856838258,1.2972972972972974,8.27972027972028,5.370629370629371,6.937062937062937,0.6713286713286714,2.4055944055944054,0.1759259259259259,0.4907407407407407,4.8385151319598085,4.673427456366738,50.5
Demo Prospect 075,2025,Demo University 15,Conference E,,FR,18.7,79.2,180.0,0.5643044619422573,1.5061728395061729,4.680272108843537,6.639455782312925,5.061224489795919,1.5782312925170068,2.2857142857142856,0.238095238095238,0.4761904761904761,4.138354418939034,4.658897920751091,49.9
Demo Prospect 149,2025,Demo University 9,Conference D,,JR,20.9,79.8,185.0,0.5583756345177665,2.333333333333333,4.484076433121019,1.070063694267516,7.490445859872612,0.9171974522292994,0.3566878980891719,0.2714285714285714,0.2857142857142857,4.2497797241109225,4.6557394921756226,49.3
Demo Prospect 153,2025,Demo University 13,Conference C,,SR,21.7,77.8,185.0,0.5566801619433198,2.861111111111111,7.245508982035928,6.167664670658683,4.730538922155689,0.8383233532934131,2.634730538922156,0.2424242424242424,0.2222222222222222,4.764024342925943,4.6391838336365545,48.6
Demo Prospect 011,2025,Demo University 11,Conference A,11.0,SO,19.7,77.9,208.0,0.5180421579135405,3.0,6.2787550744248986,1.6238159675236807,8.497970230040595,1.2990527740189446,2.706359945872801,0.3814432989690721,0.3505154639175257,4.248272235108583,4.634900655542281,48.0
Demo Prospect 121,2025,Demo University 1,Conference A,,FR,18.1,78.9,175.0,0.5469413763806288,1.7058823529411764,4.557522123893805,2.566371681415929,8.716814159292035,1.1946902654867255,1.8584070796460177,0.4415584415584415,0.5064935064935064,4.712211849992306,4.616267037070248,47.4
Demo Prospect 037,2025,Demo University 17,Conference B,37.0,SO,20.0,79.9,209.0,0.5054832076764908,3.238095238095238,3.6085626911314974,4.159021406727828,5.99388379204893,0.7339449541284404,1.5902140672782874,0.74,0.38,3.7477791445412256,4.5956967096737955,46.8
Demo Prospect 013,2025,Demo University 13,Conference C,13.0,FR,19.4,75.4,189.0,0.5522440392706872,1.9361702127659572,4.214046822742475,6.086956521739131,9.364548494983278,1.4046822742474916,0.6688963210702341,0.22,0.32,3.795044856659831,4.559317007607911,46.2
Demo Prospect 116,2025,Demo University 16,Conference A,,SR,22.1,83.1,207.0,0.5442415730337079,3.090909090909091,6.161490683229814,1.68944099378882,5.068322981366459,0.546583850931677,2.6832298136645965,0.2736842105263158,0.4526315789473684,4.375144670318623,4.529000871403969,45.6
Demo Prospect 035,2025,Demo University 15,Conference E,35.0,SR,21.8,81.4,214.0,0.5405405405405406,2.697674418604651,5.708622398414271,4.598612487611496,7.09613478691774,0.7532210109018831,1.7839444995044598,0.4833333333333333,0.25,5.751808170732342,4.528542099962938,44.9
Demo Prospect 126,2025,Demo University 6,Conference A,,FR,19.2,77.4,189.0,0.5150425114453892,2.764705882352941,4.300341296928328,6.416382252559727,5.733788395904437,1.7747440273037542,0.3412969283276451,0.4181818181818181,0.2545454545454545,4.316833156454273,4.517504024428949,44.3
Demo Prospect 100,2025,Demo University 20,Conference E,,FR,18.7,78.6,198.0,0.5151098901098902,2.2,4.297994269340975,2.5214899713467047,7.908309455587393,1.489971346704871,1.5472779369627507,0.6875,0.3125,3.3622036929409065,4.514144744727158,43.7
Demo Prospect 130,2025,Demo University 10,Conference E,,SO,19.9,83.4,209.0,0.5634390651085143,1.03921568627451,6.473526473526474,2.1178821178821177,6.6333666333666335,0.9590409590409592,1.3586413586413586,0.5833333333333334,0.45,3.503779144541226,4.503948406282486,43.1
Demo Prospect 032,2025,Demo University 12,Conference B,32.0,FR,19.4,76.0,178.0,0.5151249451994739,2.967741935483871,3.832823649337411,7.502548419979613,6.442405708460754,1.5494393476044852,2.650356778797146,0.3780487804878049,0.2560975609756097,4.256756570928978,4.443931069013984,42.5
Demo Prospect 114,2025,Demo University 14,Conference D,,SR,23.1,73.4,179.0,0.5792478173270651,2.625,4.292379471228616,1.3063763608087091,6.531881804043546,0.995334370139969,1.8040435458786936,0.4081632653061224,0.4897959183673469,3.766387328802785,4.420937801090371,41.8
Demo Prospect 150,2025,Demo University 10,Conference E,,SR,23.2,78.2,187.0,0.5761766132945172,2.323529411764706,6.846846846846847,5.693693693693693,4.468468468468468,0.7927927927927928,1.945945945945946,0.5492957746478874,0.3661971830985915,4.526363756372009,4.368284294806968,41.2
Demo Prospect 003,2025,Demo University 3,Conference C,3.0,SR,22.3,74.3,177.0,0.5835514834205934,1.4827586206896552,5.175332527206772,2.079806529625152,3.6275695284159615,0.8222490931076178,0.0967351874244256,0.5121951219512195,0.2682926829268293,5.268104406891926,4.338164575923475,40.6
Demo Prospect 047,2025,Demo University 7,Conference B,47.0,FR,18.5,84.6,186.0,0.4934210526315789,2.833333333333333,6.290322580645161,3.655913978494624,7.849462365591398,1.6129032258064515,0.4838709677419355,0.8041237113402062,0.5051546391752577,4.983934727615473,4.320343852278805,40.0
Demo Prospect 027,2025,Demo University 7,Conference B,27.0,JR,20.6,77.5,188.0,0.5362566438876234,2.95,4.529058116232465,7.094188376753507,6.773547094188377,1.0420841683366733,2.164328657314629,0.127906976744186,0.5116279069767442,3.0022366801967046,4.313726199239158,39.4
Demo Prospect 079,2025,Demo University 19,Conference D,,JR,21.1,81.1,212.0,0.5226330338631652,2.625,6.685082872928176,1.160220994475138,2.8729281767955803,0.994475138121547,3.0939226519337018,0.2718446601941747,0.2815533980582524,3.7064792114364975,4.3061033655541525,38.7
Demo Prospect 039,2025,Demo University 19,Conference D,39.0,SR,22.6,80.9,202.0,0.5562060889929742,2.45,7.140939597315437,2.6308724832214767,6.442953020134228,1.2885906040268456,2.3624161073825505,0.6326530612244898,0.5,4.1562095355257815,4.284719612873953,38.1
